interval_no,interval_name,max_ma,min_ma,group,relN,N,Ft,bL,FL,bt,sampled_in_bin,implied_in_bin,n_occs,period
3002,Holocene,0.0117,0,Fish: cartilaginous,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q
3002,Holocene,0.0117,0,Brachiopods,0.000250313,4,0,4,0,0,4,0,8,Q
3002,Holocene,0.0117,0,Echinoids: sea stars,0.000652316,1,0,1,0,0,1,0,1,Q
3002,Holocene,0.0117,0,Echinoids (all),0.000794011,7,0,7,0,0,7,0,23,Q
3002,Holocene,0.0117,0,Echinoids: sea urchins,0.002263297,6,0,6,0,0,6,0,19,Q
3002,Holocene,0.0117,0,Bryozoans,0.004108885,32,0,30,2,0,32,0,89,Q
3002,Holocene,0.0117,0,Corals (all),0.006521555,77,0,74,3,0,77,2,1216,Q
3002,Holocene,0.0117,0,Arthropods: insects,0.00787162,207,0,97,110,0,207,15,328,Q
3002,Holocene,0.0117,0,Molluscs (all),0.008181083,536,0,513,23,0,536,2,2451,Q
3002,Holocene,0.0117,0,Molluscs: bivalves,0.008728235,198,0,195,3,0,198,2,1225,Q
3002,Holocene,0.0117,0,Molluscs: gastropods,0.010064658,330,0,313,17,0,330,0,1179,Q
3002,Holocene,0.0117,0,Corals: scleractinian,0.01038998,73,0,72,1,0,73,2,1201,Q
3002,Holocene,0.0117,0,Animals (all),0.011326766,2318,0,1652,666,0,2318,65,12639,Q
3002,Holocene,0.0117,0,Arthropods,0.01423104,647,0,252,395,0,647,21,1381,Q
3002,Holocene,0.0117,0,Fish: bony,0.030565679,998,0,759,239,0,998,38,7417,Q
3002,Holocene,0.0117,0,Ammonites,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q
3002,Holocene,0.0117,0,Echinoids: crinoids,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q
3002,Holocene,0.0117,0,Corals: rugose,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q
3002,Holocene,0.0117,0,Corals: tabulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q
3002,Holocene,0.0117,0,Arthropods: trilobites,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q
922,Late Pleistocene,0.126,0.0117,Echinoids: crinoids,0.000375094,1,0,0,1,0,1,0,1,Q
922,Late Pleistocene,0.126,0.0117,Brachiopods,0.001001252,16,0,11,1,4,13,0,18,Q
922,Late Pleistocene,0.126,0.0117,Echinoids: sea stars,0.001304631,2,0,1,0,1,1,0,2,Q
922,Late Pleistocene,0.126,0.0117,Echinoids (all),0.002722323,24,0,15,2,7,20,0,101,Q
922,Late Pleistocene,0.126,0.0117,Bryozoans,0.006933744,54,0,24,0,30,30,0,91,Q
922,Late Pleistocene,0.126,0.0117,Fish: cartilaginous,0.007767996,30,0,30,0,0,30,0,96,Q
922,Late Pleistocene,0.126,0.0117,Echinoids: sea urchins,0.007921539,21,0,14,1,6,18,0,91,Q
922,Late Pleistocene,0.126,0.0117,Corals (all),0.010756331,127,0,43,10,74,123,1,4570,Q
922,Late Pleistocene,0.126,0.0117,Arthropods,0.014846912,675,7,274,149,245,481,22,2976,Q
922,Late Pleistocene,0.126,0.0117,Animals (all),0.017146515,3509,183,1361,496,1469,3067,66,29638,Q
922,Late Pleistocene,0.126,0.0117,Molluscs (all),0.017369538,1138,8,537,88,505,1043,1,10276,Q
922,Late Pleistocene,0.126,0.0117,Corals: scleractinian,0.017506405,123,0,42,9,72,119,1,4559,Q
922,Late Pleistocene,0.126,0.0117,Arthropods: insects,0.017796707,468,1,236,135,96,386,17,2651,Q
922,Late Pleistocene,0.126,0.0117,Molluscs: bivalves,0.018161781,412,2,188,29,193,388,1,4754,Q
922,Late Pleistocene,0.126,0.0117,Molluscs: gastropods,0.021532268,706,6,340,53,307,639,0,5457,Q
922,Late Pleistocene,0.126,0.0117,Fish: bony,0.043459618,1419,168,415,245,591,1306,41,11406,Q
922,Late Pleistocene,0.126,0.0117,Ammonites,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q
922,Late Pleistocene,0.126,0.0117,Corals: rugose,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q
