"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/diversity_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/diversity.csv?datainfo&rowcount&base_name=mammalia&count=genera"
"Access Time","Thu 2018-11-08 17:10:52 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","count","genera"
"","time_reso","stage"
"","base_name","mammalia"
"","timerule","major"
"Elapsed Time","6.48"
"Records Found","48"
"Records Returned","48"
"Summary:"
"n_occs","bin_total","imprecise_time","imprecise_taxon","missing_taxon"
"109738","91760","17978","11631",""
"Records:"
"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","implied_in_bin","n_occs"
"3002","Holocene","0.01170","0.00000","0","348","111","0","459","6","3465"
"922","Late Pleistocene","0.12600","0.01170","27","167","58","321","502","17","6488"
"923","Middle Pleistocene","0.78100","0.12600","37","66","28","451","443","13","4247"
"740","Calabrian","1.80600","0.78100","111","88","54","406","566","10","7499"
"741","Gelasian","2.58800","1.80600","7","23","2","487","183","7","2184"
"96","Piacenzian","3.60000","2.58800","37","93","28","473","443","20","2954"
"97","Zanclean","5.33300","3.60000","201","155","98","365","697","21","4041"
"98","Messinian","7.24600","5.33300","53","76","44","467","370","17","1473"
"99","Tortonian","11.62000","7.24600","266","261","284","277","1022","38","6164"
"100","Serravallian","13.82000","11.62000","167","171","128","371","737","43","5364"
"101","Langhian","15.97000","13.82000","119","82","48","423","487","30","4331"
"102","Burdigalian","20.44000","15.97000","277","133","201","228","795","37","5701"
"103","Aquitanian","23.03000","20.44000","89","49","41","272","282","10","1151"
"104","Chattian","28.10000","23.03000","144","149","177","177","585","51","2740"
"105","Rupelian","33.90000","28.10000","213","132","202","113","631","40","4965"
"106","Priabonian","38.00000","33.90000","110","175","143","135","520","17","3765"
"107","Bartonian","41.30000","38.00000","85","67","66","225","315","22","1408"
"108","Lutetian","47.80000","41.30000","189","103","252","103","626","24","4076"
"109","Ypresian","56.00000","47.80000","160","80","346","46","629","24","12608"
"110","Thanetian","59.20000","56.00000","93","28","88","33","231","12","1900"
"743","Selandian","61.60000","59.20000","15","1","19","46","40","1","66"
"111","Danian","66.00000","61.60000","40","12","163","7","220","9","2054"
"112","Maastrichtian","72.10000","66.00000","9","18","34","10","67","2","1138"
"113","Campanian","83.60000","72.10000","13","12","48","15","86","7","809"
"114","Santonian","86.30000","83.60000","10","2","3","17","22","0","74"
"115","Coniacian","89.80000","86.30000","0","0","0","19","5","2","11"
"116","Turonian","93.90000","89.80000","7","0","12","12","22","2","107"
"117","Cenomanian","100.50000","93.90000","7","4","17","5","31","5","177"
"118","Albian","113.00000","100.50000","5","8","21","4","37","4","112"
"119","Aptian","125.00000","113.00000","8","0","25","4","34","4","65"
"120","Barremian","129.40000","125.00000","2","3","16","2","22","3","52"
"121","Hauterivian","132.90000","129.40000","0","0","0","5","0","0","0"
"122","Valanginian","139.80000","132.90000","3","1","4","2","9","2","20"
"123","Berriasian","145.00000","139.80000","1","5","30","2","37","3","101"
"124","Tithonian","152.10000","145.00000","3","5","15","4","25","4","152"
"125","Kimmeridgian","157.30000","152.10000","7","2","24","2","33","2","73"
"126","Oxfordian","163.50000","157.30000","1","3","10","3","14","0","21"
"127","Callovian","166.10000","163.50000","0","2","3","6","5","6","15"
"128","Bathonian","168.30000","166.10000","6","0","18","2","24","2","77"
"129","Bajocian","170.30000","168.30000","0","0","0","2","0","0","0"
"130","Aalenian","174.10000","170.30000","0","0","0","2","0","0","0"
"131","Toarcian","182.70000","174.10000","1","1","8","1","10","0","11"
"132","Pliensbachian","190.80000","182.70000","0","0","3","2","3","0","5"
"133","Sinemurian","199.30000","190.80000","1","2","9","1","13","0","27"
"134","Hettangian","201.30000","199.30000","0","0","0","3","1","0","1"
"135","Rhaetian","208.50000","201.30000","1","1","8","2","11","0","57"
"136","Norian","228.00000","208.50000","3","0","0","0","3","1","9"
"137","Carnian","237.00000","228.00000","0","0","2","0","2","0","2"
